Nombre,Domicilio
PRIMARIA GENERAL - SUSANA IRMA HERRERA MASCORRO,"RODOLFO MENDEZ NO 3, AMPL GABRIEL HERNANDEZ, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - GABINO BARREDA,"ALHONDIGA Y SOLEDAD, CENTRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - MIGUEL E. SCHULTZ,"JOSE T. CUELLAR NO 176, VISTA ALEGRE, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE JAMAICA,"JACARANDAS S/N, COLONIA EL PIRUL, DELEGACION ALVARO OBREGON, MEXICO DF."
PREESCOLAR GENERAL - ELENA ZAPATA,"CEDRO NO 205, SANTA MARIA LA RIBERA, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - CENTENARIO DE LA HEROICA ESCUELA NAVAL MILITAR,"CANAL NACIONAL S/N UNIDAD MILITAR NAVAL, GRANJAS COAPA, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - KALLINPILTONTLI,"V.C. Y A. BONFIL MZA 110 B LTE 813 B, AMPLIACION MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - AÑO INTERNACIONAL DEL NIÑO,"HDA SAN NICOLAS TOLENTINO S/N, PRADO COAPA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - RICARDO GOMEZ,"AV MEXICO NO 19, COLONIA TIZAPAN, DELEGACION ALVARO OBREGON, MEXICO DF"
SECUNDARIA GENERAL - SECUNDARIA FEDERAL,"EMILIANO ZAPATA Y G GUERRA, CUAUTEPEC DE MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - MELCHOR OCAMPO,"AV LAZARO CARDENAS S/N, CUAUTEPEC BARRIO BAJO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - PONCIANO ARRIAGA,"AV MICHOACAN S/N, CHALMA DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - ANDRES IDUARTE,"AV ACUEDUCTO NO 1042, TICOMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 82,"FELIPE ANGELES Y JERONIMO DE LAS CASAS, ARBOLEDAS DE CUAUTEPEC EL ALTO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - CARLOS MARX,"CAMINO REAL DE SAN MARTIN S/N, PUEBLO SANTA BARBARA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - NARCISO BASSOLS,"MATEMATICAS S/N,  UNIDAD INFONAVIT EL ROSARIO, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL - ANGEL MARIA GARIBAY KINTANA,"EJE 5 NORTE Y AV. DE LAS CULTURAS, SAN MARTIN XOCHINAHUAC, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - EMPERADOR CUITLAHUAC,"ESTACION PANTACO Y MANZANA 3 S/N, UNIDAD CUITLAHUAC, DELEGACION AZCAPOTZALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 74,"AV JUAN ALVAREZ Y CDA MARTIN CARRERA S/N, CAMPAMENTO 2 DE OCTUBRE, DELEGACION IZTACALCO, MEXICO DF."
